,T,GOOGL,MO,AIG,AAPL,BAC,BRK.B,CVX,CSCO,C,KO,XOM,GE,INTC,IBM,JNJ,MSFT,PFE,PG,WMT,BOND20
2019-03-29,3.0083290099089085e-10,3.4786756092907173e-10,0.10748866030410022,8.918241046899444e-11,0.009172387590471924,0.031718458540178886,3.956610428737335e-09,2.201577412479445e-10,0.19016532150510365,2.1753887212329378e-10,3.581664175560285e-10,1.2502619350348724e-10,5.033654979947723e-11,0.05619797676159019,7.466584613362912e-11,1.0367443592947395e-09,0.3094879200863587,1.7617614636421989e-09,8.806456288251727e-10,6.9228213694634195e-09,0.2957692588698317
2019-05-31,2.6321019383265496e-10,7.646529404902771e-10,0.05863451562745136,1.0020272448134065e-10,0.010460915183431237,0.0671465916464577,8.096340422736986e-10,2.000608836360127e-10,0.16657622136912337,2.5059560058690024e-10,3.951448228160491e-10,1.4024687935957825e-10,6.004747547697498e-11,1.2829036559129975e-09,8.457041925595021e-11,5.967319229709241e-10,0.35711549470396775,8.741539981862469e-10,8.885972903588829e-10,8.288159892087019e-10,0.3400662539300119
2019-07-31,1.1244051317704595e-10,1.0970979958381332e-10,2.9286004060729257e-10,4.2170936685129395e-11,4.758445206247593e-10,0.024666370678262634,2.4210467473493164e-10,6.323407323001903e-11,0.09816550687701694,1.0638911579674669e-10,1.2464272902154104e-10,4.353536699211199e-11,2.2132353786548586e-11,1.1144896308967237e-10,3.2064781650029335e-11,1.3962462563423673e-10,0.4168510719172123,0.06728483313974966,5.211797716562881e-10,0.032036907799984055,0.36099530714839706
2019-09-30,4.930272471652711e-10,6.81324627052432e-10,5.41759285151265e-10,1.3907422166402941e-10,3.513655585694162e-09,0.035128405091171176,4.895919141788214e-10,1.9936133682784638e-10,0.04863446649647603,2.8115729656071387e-10,6.4076006259408e-10,1.2693186815722094e-10,6.205025402567593e-11,2.8212531850618075e-10,1.0657449159706292e-10,3.8347712348319686e-10,0.4555433307853969,1.318692421981047e-09,1.87083610766088e-08,0.05666033103927973,0.4040334386197733
2019-11-29,1.0189463545143965e-09,1.223447151096015e-09,3.054900425114857e-10,1.300982552950043e-10,0.04236176142897926,0.05534618544178631,4.5682717190304746e-10,2.0406089854590434e-10,0.04374154159970209,2.4695914472124345e-10,5.516897856668254e-10,1.1019927400199808e-10,6.004329962738584e-11,5.27597846483127e-10,1.0180016146635982e-10,3.1388550000957674e-10,0.4134201129886301,1.1808864874509429e-08,1.077264392955049e-08,0.07075031140260489,0.3743800593057443
2020-01-31,0.016060131876794337,1.015562006108479e-09,1.0086175318684194e-10,2.602856993100811e-11,0.08958406087318378,0.060288446840622865,1.0333649336267055e-10,5.60221637299368e-11,1.6961633964156146e-10,6.01279657135107e-11,2.1495886501016883e-10,2.779811731218741e-11,1.5061968390468895e-11,9.480701465147488e-11,2.3456439413370165e-11,1.3637838503745416e-10,0.4025154049392181,0.032187388595824165,3.7091183979074225e-09,0.034472705643764465,0.36489185547746206
2020-03-31,3.188274246690362e-10,2.199500219728858e-10,7.078184384155495e-11,3.875749708224681e-11,3.4105714732068127e-10,0.08090357604460188,1.6386738039454428e-10,7.701114593031645e-11,1.4120023248698872e-10,9.762447161940622e-11,1.8580905696036455e-10,4.281323557141843e-11,2.786575225342987e-11,1.9195060668807775e-10,4.24125801362585e-11,2.0914295716998518e-10,0.4738736108366589,1.7505202040673182e-10,1.790243300526277e-09,3.3040551305418263e-09,0.4452228056803217
2020-05-29,1.0469102313853293e-09,6.102045940056267e-10,5.007369852521428e-10,1.3765688479003708e-10,1.3790135792063595e-09,0.01793225383576329,6.83506422212558e-10,3.081849934258606e-10,1.3158489767590976e-09,3.6468112678616e-10,5.883853443733556e-10,1.8512281077651118e-10,1.2816797869095861e-10,1.5039862378750231e-09,1.9728081339469697e-10,1.1024507836551364e-09,0.5105759353616134,1.0369350427567793e-09,0.0022398018957294962,0.04146567614372552,0.42778632167409875
2020-07-31,2.680811872628881e-10,1.996983306834904e-10,1.6988954810967215e-10,5.060747953329237e-11,3.8993806308348623e-10,2.593763699947111e-10,2.15580235575971e-10,1.4983316867179888e-10,1.4402990188643772e-09,1.0360568467423052e-10,1.9632562155465754e-10,7.007091416502622e-11,4.88067420947614e-11,5.287772272918174e-10,7.950021171774662e-11,2.6914665092800567e-10,0.5351749444130397,2.4778578794874696e-10,9.682723780734766e-10,0.06699227688165307,0.39783277304976705
2020-09-30,1.3191334698672153e-09,8.509618980548962e-10,8.357421349342481e-10,2.9808268442904007e-10,2.244050334154513e-08,1.4404712001881235e-09,1.553327706329278e-09,8.257610940970424e-10,2.906424573156292e-09,5.68792479023522e-10,1.2058068626720282e-09,3.6585595842253443e-10,2.932105647168613e-10,1.2562215794134043e-09,4.776346757610733e-10,1.4179672671351063e-09,0.5209666909087397,2.3649248925721737e-09,0.043395907744696,0.14439265669232595,0.2912447042334931
2020-11-30,1.685577872375109e-11,1.840182307815749e-11,8.689988469460701e-12,6.095481906101828e-12,6.69534177344378e-11,2.3004348724453308e-11,2.1247079282592587e-11,9.344770589283503e-12,2.2668850648161906e-11,7.24844360193821e-12,1.8409224232357676e-11,4.5956456491839645e-12,5.82691874354146e-12,1.445158710800937e-11,7.369063744650331e-12,1.6889606207009436e-11,0.47715619526252273,3.034953964357503e-11,0.07431778398612672,0.1951046624172472,0.25342135803572347
2021-01-29,4.02319124685634e-11,3.7130993331305846e-11,2.1374362169977642e-11,1.5643411417688904e-11,0.051826368093947646,3.5484649953404574e-10,8.432353008501152e-11,2.5906229341670696e-11,1.4744228878794427e-10,2.6069123932816405e-11,5.5668103860977956e-11,1.2525834785027894e-11,1.4772428695670938e-11,3.5525789861299833e-11,1.7095237657511184e-11,4.975655295569802e-11,0.4420962646649996,1.3600123217820633e-10,0.04972935727368921,0.1488631804655834,0.3074848284274702
2021-03-31,6.547821686292057e-11,1.332266246238999e-10,6.120806497749666e-11,4.168979632420258e-11,8.62278140048841e-10,0.08393427237482752,1.3056546479748484e-10,6.719880863918748e-11,1.2994904998957823e-10,5.389007056295857e-11,9.303057276488217e-11,3.210673710126226e-11,3.658706205888479e-11,1.9563831142592444e-10,2.86145990134509e-11,1.0585451996946773e-10,0.5188649868422365,2.6635978807805685e-10,0.025469191543192053,0.04274133689863699,0.3289902100374277
2021-05-28,3.158444459149092e-10,7.072060541470622e-10,3.220166304873632e-10,1.8037044713219964e-10,2.022550776354131e-09,0.03356168381932392,5.282643244273022e-10,2.2416166788193476e-10,1.1832821178881684e-09,1.7417286785089455e-10,4.922635388070738e-10,1.2231064663758517e-10,2.1847154714454463e-10,1.295365375369801e-09,1.2850011545174863e-10,3.060394728447353e-10,0.5702240605104106,6.433120073582955e-10,0.09574490923945526,0.037908138358055676,0.26256119920861226
2021-07-30,3.0695375514576157e-10,1.1602741146925692e-09,4.022479987501249e-10,2.9128525765641453e-10,2.0127519209264414e-09,0.06269978331407068,7.701884691431248e-10,2.817015757129748e-10,1.8372918823786295e-09,2.7247531422314055e-10,7.432732722536195e-10,1.6398728902175046e-10,2.85356790006242e-10,1.0159129177765652e-09,1.8079643487234246e-10,4.077972062094572e-10,0.5557999079354672,8.431005173843007e-10,0.07701625739848113,0.027442879637205188,0.27704116073937324
2021-09-30,1.4523493146648244e-10,8.257306881100055e-10,1.9027634209860353e-10,1.3081225242928424e-10,7.076136509187472e-10,0.04005738741259681,3.1494246367774194e-10,1.228032655664978e-10,1.4543972180870889e-09,1.1714095719258034e-10,3.387753683060197e-10,6.941623222094342e-11,1.3410212838447507e-10,3.4188114734961464e-10,7.882609228483457e-11,1.9428781755029186e-10,0.5783413138250032,7.826856381836662e-10,0.07645086949843811,0.03897359269440034,0.26617683062061565
2021-11-30,4.517097760570299e-10,1.397721398798306e-09,4.4698138846143106e-10,3.021386789295856e-10,9.247413618901108e-09,0.0795088303954873,9.916750131192025e-10,3.3239990898625627e-10,2.202549485245601e-09,3.2026561153827895e-10,6.627375084728305e-10,2.2639506445385119e-10,2.7317334161197064e-10,1.8951235983599997e-09,2.735039435620926e-10,5.906116104833649e-10,0.49344551823136623,3.076964332214085e-09,0.07465891948611499,0.017300779959287964,0.33508592923640107
2022-01-31,5.921542744150034e-11,5.632466996549532e-10,7.92034294159683e-11,7.785366826161785e-11,0.008554949257601351,2.517139216043074e-10,1.291769699110282e-10,6.640678175782513e-11,0.002597757607680362,5.3385051885013994e-11,1.3852131484080487e-10,4.5375898235260706e-11,6.7943459748989e-11,2.1740071896581514e-08,4.798832351137694e-11,9.734274695713723e-11,0.5015621895946332,0.0480167140709781,0.15208781781623743,5.353322920602932e-10,0.28718054770008583
2022-03-31,1.9790337060060282e-10,2.202552320429578e-09,3.7014078422389066e-10,4.882646114175802e-10,0.005337707314720284,2.9574111959319357e-09,1.719808045307462e-09,0.013237407382766445,9.332128692580979e-10,1.9195439944768755e-10,1.4302172729501369e-09,1.3202131301488024e-09,2.2873915314950938e-10,0.010886786954364906,1.2741201045532318e-10,3.172547696704449e-10,0.4658073797204844,9.787780631395647e-10,0.17446436380141234,1.7243554170537933e-09,0.33026633963807606
2022-05-31,1.7009384759657448e-10,2.2414763685013462e-10,4.5181427026940384e-10,2.35749575039069e-10,1.762276029438871e-09,2.0342902744620757e-10,1.0263332611155043e-09,0.044413095745589874,2.2314936879547705e-10,7.679361559540149e-11,9.802020515118411e-10,2.390744761690703e-09,9.008477665853543e-11,0.004262964978660662,1.1496121118291909e-10,3.4859962606151416e-10,0.35842373704610947,7.380014929552672e-10,0.26864221813549216,0.06146281528656817,0.2627951597712107
2022-07-29,1.8596874722589716e-09,8.164742483254801e-10,4.5276149598256684e-10,5.07329152577399e-10,1.532181182514346e-09,4.002043221124103e-10,8.804027746557294e-10,4.7932251116756065e-09,6.097169714836507e-10,2.023488596063376e-10,0.006623591181450629,0.052167180118303846,2.3710361451747366e-10,2.9997585821898088e-09,5.521592803796467e-10,1.2192723468208916e-09,0.3541266952622256,0.043457051672917496,0.24409340045013206,3.3167638962597064e-09,0.29953206093559265
